"filename", "language", "YAML", "Dart", "XML", "JSON", "comment", "blank", "total"
"c:\Users\A Azi A\Documents\App\finance\android\app\google-services.json", "JSON", 0, 0, 0, -1, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 2, 0, 0, 2, 4
"c:\Users\A Azi A\Documents\App\finance\lib\models\portfolio\portfolio.dart", "Dart", 0, 2, 0, 0, 0, -2, 0
"c:\Users\A Azi A\Documents\App\finance\lib\models\quote\quote.dart", "Dart", 0, -3, 0, 0, 0, -1, -4
"c:\Users\A Azi A\Documents\App\finance\lib\pages\calender\calender.dart", "Dart", 0, 18, 0, 0, -58, -16, -56
"c:\Users\A Azi A\Documents\App\finance\lib\pages\calender\viewDividend.dart", "Dart", 0, 1, 0, 0, 0, 0, 1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\community.dart", "Dart", 0, 138, 0, 0, 1, 7, 146
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\createPost.dart", "Dart", 0, -6, 0, 0, -2, -1, -9
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\report.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\social.dart", "Dart", 0, -94, 0, 0, -1, -8, -103
"c:\Users\A Azi A\Documents\App\finance\lib\pages\home\create.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\home\dashboard.dart", "Dart", 0, -9, 0, 0, 1, -3, -11
"c:\Users\A Azi A\Documents\App\finance\lib\pages\home\info.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\login.dart", "Dart", 0, -7, 0, 0, 0, -2, -9
"c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\signup.dart", "Dart", 0, -7, 0, 0, -1, -1, -9
"c:\Users\A Azi A\Documents\App\finance\lib\pages\search\search.dart", "Dart", 0, 99, 0, 0, 0, -4, 95
"c:\Users\A Azi A\Documents\App\finance\lib\pages\search\viewResult.dart", "Dart", 0, 3, 0, 0, 0, 1, 4
"c:\Users\A Azi A\Documents\App\finance\lib\pages\settings\profile.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\settings\settings.dart", "Dart", 0, 4, 0, 0, -3, 0, 1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\viewPortfolio\allocations.dart", "Dart", 0, -303, 0, 0, 302, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\viewPortfolio\viewHolding.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\pages\viewPortfolio\viewPortfolio.dart", "Dart", 0, 2, 0, 0, 0, 0, 2
"c:\Users\A Azi A\Documents\App\finance\lib\pages\wrapper.dart", "Dart", 0, 0, 0, 0, 0, 3, 3
"c:\Users\A Azi A\Documents\App\finance\lib\services\marketbeat\marketbeat.dart", "Dart", 0, -32, 0, 0, -36, -35, -103
"c:\Users\A Azi A\Documents\App\finance\lib\services\yahooapi\yahoo_api_provider.dart", "Dart", 0, -2, 0, 0, 1, 1, 0
"c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\ListView\cw_listview.dart", "Dart", 0, 0, 0, 0, 0, -1, -1
"c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\button\cw_button.dart", "Dart", 0, -6, 0, 0, 0, -2, -8
"c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\cards\portfolioCard.dart", "Dart", 0, 6, 0, 0, 1, 0, 7
"c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\scaffold\cw_scaffold.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\shared\charts\charts.dart", "Dart", 0, -3, 0, 0, -2, -1, -6
"c:\Users\A Azi A\Documents\App\finance\lib\shared\dataObject\data_object.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Users\A Azi A\Documents\App\finance\lib\shared\dividends\dividends.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"c:\Users\A Azi A\Documents\App\finance\lib\shared\earnings\earnings.dart", "Dart", 0, -3, 0, 0, 0, 1, -2
"c:\Users\A Azi A\Documents\App\finance\lib\shared\files\fileHandler.dart", "Dart", 0, 1, 0, 0, -1, 0, 0
"c:\Users\A Azi A\Documents\App\finance\lib\shared\permissions\getPermissions.dart", "Dart", 0, -3, 0, 0, 0, -1, -4
"c:\Users\A Azi A\Documents\App\finance\pubspec.yaml", "YAML", -7, 0, 0, 0, 0, 0, -7
"Total", "-", -7, -211, 2, -1, 202, -62, -77
