Date : 2023-03-15 22:26:09
Directory : c:\Users\A Azi A\Documents\App\finance
Total : 102 files,  9182 codes, 944 comments, 1093 blanks, all 11219 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         72 |      8,424 |        808 |      1,020 |     10,252 |
| JSON            |          4 |        301 |          0 |          3 |        304 |
| XML             |         15 |        263 |         36 |         17 |        316 |
| Groovy          |          4 |        109 |          3 |         27 |        139 |
| YAML            |          1 |         50 |         96 |         12 |        158 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Swift           |          1 |         12 |          0 |          2 |         14 |
| Java Properties |          2 |          9 |          1 |          2 |         12 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        102 |      9,182 |        944 |      1,093 |     11,219 |
| . (Files)                                                                                                             |          2 |         60 |         96 |         19 |        175 |
| android                                                                                                               |         16 |        295 |         38 |         42 |        375 |
| android (Files)                                                                                                       |          4 |         45 |          0 |         12 |         57 |
| android\app                                                                                                           |         11 |        245 |         37 |         29 |        311 |
| android\app (Files)                                                                                                   |          2 |        139 |          3 |         16 |        158 |
| android\app\src                                                                                                       |          9 |        106 |         34 |         13 |        153 |
| android\app\src\debug                                                                                                 |          1 |          5 |          3 |          4 |         12 |
| android\app\src\main                                                                                                  |          7 |         96 |         28 |          7 |        131 |
| android\app\src\main (Files)                                                                                          |          1 |         39 |         10 |          7 |         56 |
| android\app\src\main\res                                                                                              |          6 |         57 |         18 |          0 |         75 |
| android\app\src\main\res\drawable                                                                                     |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-night                                                                               |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-night-v21                                                                           |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-v21                                                                                 |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\values                                                                                       |          1 |         11 |          9 |          0 |         20 |
| android\app\src\main\res\values-night                                                                                 |          1 |         10 |          9 |          0 |         19 |
| android\app\src\profile                                                                                               |          1 |          5 |          3 |          2 |         10 |
| android\gradle                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                   |         12 |        403 |          2 |         12 |        417 |
| ios\Flutter                                                                                                           |          1 |         26 |          0 |          1 |         27 |
| ios\Runner                                                                                                            |          9 |        361 |          2 |          9 |        372 |
| ios\Runner (Files)                                                                                                    |          3 |         60 |          0 |          3 |         63 |
| ios\Runner.xcodeproj                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace                                                                              |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                 |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace                                                                                                |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace\xcshareddata                                                                                   |          1 |          8 |          0 |          1 |          9 |
| ios\Runner\Assets.xcassets                                                                                            |          4 |        233 |          0 |          5 |        238 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                  |          1 |         52 |          0 |          1 |         53 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                       |          2 |         59 |          0 |          3 |         62 |
| ios\Runner\Base.lproj                                                                                                 |          2 |         68 |          2 |          1 |         71 |
| lib                                                                                                                   |         72 |      8,424 |        808 |      1,020 |     10,252 |
| lib (Files)                                                                                                           |          1 |         62 |          7 |          8 |         77 |
| lib\extensions                                                                                                        |          1 |         71 |          3 |         14 |         88 |
| lib\models                                                                                                            |          4 |        108 |          1 |         31 |        140 |
| lib\models\account                                                                                                    |          1 |         21 |          0 |          5 |         26 |
| lib\models\portfolio                                                                                                  |          1 |         25 |          0 |          9 |         34 |
| lib\models\quote                                                                                                      |          1 |         55 |          1 |         15 |         71 |
| lib\models\user                                                                                                       |          1 |          7 |          0 |          2 |          9 |
| lib\pages                                                                                                             |         28 |      4,856 |        565 |        368 |      5,789 |
| lib\pages (Files)                                                                                                     |          1 |        127 |          2 |         20 |        149 |
| lib\pages\calender                                                                                                    |          3 |        564 |          1 |         54 |        619 |
| lib\pages\community                                                                                                   |          6 |      1,018 |         10 |         72 |      1,100 |
| lib\pages\home                                                                                                        |          4 |        568 |          6 |         48 |        622 |
| lib\pages\login_register                                                                                              |          4 |        740 |        236 |         49 |      1,025 |
| lib\pages\search                                                                                                      |          2 |        531 |          0 |         27 |        558 |
| lib\pages\settings                                                                                                    |          4 |        521 |          4 |         40 |        565 |
| lib\pages\viewPortfolio                                                                                               |          4 |        787 |        306 |         58 |      1,151 |
| lib\services                                                                                                          |          6 |        799 |        123 |        255 |      1,177 |
| lib\services\Login                                                                                                    |          1 |        158 |         10 |         45 |        213 |
| lib\services\Network                                                                                                  |          1 |         45 |          1 |          8 |         54 |
| lib\services\database                                                                                                 |          1 |        106 |          8 |         28 |        142 |
| lib\services\forex                                                                                                    |          1 |         81 |          0 |         13 |         94 |
